Filename,HistMean,HistVar,LaplVar,MaxLapl,MaxVar,MaxAvgLapl,MinAvgLapl,IQR,Deviation,C1AreaProp,C2AreaProp,C3AreaProp,C4AreaProp,HistBin1,HistBin2,HistBin3,HistBin4,HistBin5,HistBin6,HistBin7,HistBin8,LaplHistBin1,LaplHistBin2,LaplHistBin3,LaplHistBin4,LaplHistBin5,LaplHistBin6,LaplHistBin7,LaplHistBin8,SiftNumKP,SurfNumKP,AkazeNumKP,BriskNumKP,KazeNumKP,ORBNumKP,RidgeAreaProp,MaxX,AvgMaxX,MaxY,MinVar,Output
artifactless/ESP_016890_1470_RED.NOMAP.browse-Block-15.jpg,146.19012451171875,1062.1240699552,1551.184751495719,206.880615234375,2073.3158569335938,537.5118211209774,1041.1053382754326,42.0,0.11041316464655401,0.36474609375,0.319091796875,0.363037109375,0.36505126953125,31,178,980,3107,6206,4756,1092,34,30,233,2421,10596,2691,363,46,4,277,121,24,190,102,218,0.5008115435198469,67446,67275.0,77736,290.72989498438466,0
artifactless/ESP_016890_1470_RED.NOMAP.browse-Block-16.jpg,125.66436767578125,1169.9482029937208,823.4474656432867,86.14964294433594,1629.6768646240234,496.9679176211357,638.8812865614891,41.0,0.041496337733042725,0.341796875,0.30059814453125,0.34063720703125,0.342041015625,28,532,2437,5737,5301,1601,715,33,5,77,847,10668,4319,422,42,4,255,151,24,134,112,175,0.40016975280966044,60729,57790.0,50079,262.3250764091311,0
artifactless/ESP_016890_1470_RED.NOMAP.browse-Block-3.jpg,113.93243408203125,2097.7191286943853,1102.438232049346,149.796875,2604.400131225586,599.2235462069511,1098.3708309531212,66.0,0.005748903703328179,0.33453369140625,0.30810546875,0.3333740234375,0.335205078125,1002,1584,2629,3764,4854,2274,268,9,35,664,10782,4550,338,13,1,1,293,120,45,264,220,221,0.40127619949041626,59286,58325.0,56490,270.70047472883016,0
artifactless/ESP_016890_1470_RED.NOMAP.browse-Block-4.jpg,131.59417724609375,1502.5801199041307,850.2020954936743,201.00462341308594,2963.247802734375,475.7141947746277,824.1080740690231,49.0,0.10982254680307738,0.3455810546875,0.32275390625,0.3448486328125,0.34588623046875,278,582,1794,4193,5709,3052,747,29,18,303,4235,10681,1038,98,10,1,325,120,36,207,176,220,0.3907633014753753,64593,64061.0,60249,245.91727380361408,0
artifactless/ESP_016890_1470_RED.NOMAP.browse-Block-5.jpg,155.5155029296875,2462.306644424796,478.87708347663283,275.30015563964844,6211.112655639648,204.02780359983444,661.5546428859234,67.0,0.011890330401588817,0.3480224609375,0.17828369140625,0.3311767578125,0.3505859375,237,764,1330,1804,3451,4507,3640,651,15,83,625,12211,3207,193,41,9,53,44,2,11,66,6,0.33132966733446306,39126,38762.0,31632,109.77928069606423,0
artifactless/ESP_016890_1470_RED.NOMAP.browse-Block-6.jpg,108.80169677734375,1339.8169380389154,763.4692961834371,150.89573669433594,2023.497787475586,547.1568827331066,770.7937750220299,52.0,0.016614338796555002,0.341552734375,0.263916015625,0.33514404296875,0.3427734375,243,1396,4442,5195,3730,1182,185,11,14,63,513,6379,8626,674,106,9,139,83,20,120,106,171,0.3872522877711876,55851,53662.0,64035,213.54974538926035,0
artifactless/ESP_016890_1470_RED.NOMAP.browse-Block-7.jpg,115.2274169921875,1501.2590725272894,2325.0321478247643,270.93743896484375,2619.1708984375,446.40298399329185,2648.573130071163,54.0,0.09076727553639513,0.35272216796875,0.283447265625,0.34637451171875,0.35455322265625,168,1118,3890,5426,3692,1550,489,51,9,107,1119,11056,3591,456,40,6,213,135,38,319,97,246,0.45714604994829966,62406,61984.0,69966,290.157252330333,0
artifactless/ESP_016890_1470_RED.NOMAP.browse-Block-8.jpg,83.56756591796875,3266.815014924854,1260.2558321356773,185.67572021484375,2428.549789428711,423.0114518105984,947.4829930961132,110.0,7.127414257130617e-05,0.26483154296875,0.20123291015625,0.2496337890625,0.29986572265625,5144,721,2708,3770,2665,1031,311,34,24,124,571,8027,6896,647,83,12,125,87,26,122,107,134,0.33452047086229514,55617,54995.0,66900,168.0349653372541,0
artifactless/ESP_016890_1470_RED.NOMAP.browse-Block-9.jpg,68.14495849609375,3837.3726027570665,853.5032130740583,156.49505615234375,2405.5350952148438,178.51627242565155,871.8143715560436,120.0,0.013616397602799505,0.2222900390625,0.16741943359375,0.1923828125,0.30426025390625,8373,165,523,3081,3448,671,105,18,8,56,730,12525,2756,286,21,2,85,74,8,48,47,82,0.28642569149241726,65961,63642.0,65187,126.87862605135888,0
artifactless/ESP_030856_2015_RED.NOMAP.browse-Block-1.jpg,103.19635009765625,1047.6431482993066,628.2512817382812,61.71484375,953.157958984375,195.65639707446098,395.5898639857769,37.0,16.840357260999006,0.33868408203125,0.16845703125,0.3133544921875,0.3463134765625,93,1476,5185,6904,1695,813,204,14,2,7,52,409,11900,3876,131,7,107,95,7,82,26,99,0.32529518651027306,46311,45893.0,26853,121.40747079718858,0
