HistMean,HistVar,LaplVar,MaxLapl,MaxVar,MaxAvgLapl,IQR,Deviation,C1AreaProp,C4AreaProp,SiftNumKP,SurfNumKP,AkazeNumKP,KazeNumKP,ORBNumKP,RidgeAreaProp,AvgMaxX,MaxY,MinVar,Filename,Output
124.5650634765625,3446.0276270955796,683.5640465281904,49.67185974121094,108.27337646484376,72.91532894968988,102.0,1.0793734329682152,0.2825927734375,0.35723876953125,7,74,0,2,57,0.5682005975760666,55846.0,48318,106.63465749658644,ESP_011432_0925_RED.NOMAP.browse-Block-2.jpg,1.0
100.63653564453124,432.06180235370994,921.2256469726562,38.86761474609375,87.19964599609375,62.50055211782456,24.0,1.1152939520810612,0.22686767578125,0.3392333984375,2,41,0,0,59,0.5237165825039732,47415.0,41991,114.57064099144189,ESP_011432_0925_RED.NOMAP.browse-Block-4.jpg,1.0
156.22393798828125,2593.7112653516238,87.66852515935898,19.000961303710934,277.066162109375,57.093912065029144,74.0,1.9875647668393783,0.3372802734375,0.33935546875,18,66,2,23,6,0.5324757819082223,338709.0,127896,670.0311219124122,ESP_012552_1220_RED.NOMAP.browse-Block-2.jpg,1.0
120.50341796875,2324.42430472374,109.82226848229764,45.70941162109375,377.3662109375,77.97122418880463,63.0,2.0257176749981127,0.33892822265625,0.340576171875,44,70,1,42,22,0.5488709573768532,176680.0,105657,365.09620366225465,ESP_012552_1220_RED.NOMAP.browse-Block-8.jpg,1.0
168.23590087890625,3252.6966090761125,156.87511524185538,3.30218505859375,28.54234313964844,8.528705537319182,77.0,1.1262421370061395,0.113037109375,0.30499267578125,7,36,0,15,0,0.3251600340300915,46178.0,35370,39.997481821104884,ESP_012618_1090_RED.NOMAP.browse-Block-1.jpg,1.0
143.69281005859375,2195.08025592193,150.31938229501247,25.72056579589844,230.28404235839844,78.17598509788512,70.0,0.004028197381671703,0.3345947265625,0.3375244140625,44,57,2,43,26,0.6316023733101639,229650.0,154707,631.6351187108085,ESP_012618_1090_RED.NOMAP.browse-Block-10.jpg,1.0
157.68927001953125,1557.6321456097064,76.02216094732285,83.36766052246094,595.7418060302733,29.02241796255112,39.0,3408.0,0.3148193359375,0.33551025390625,16,45,0,12,0,0.5291922749282639,183668.0,145779,168.42530853844454,ESP_012618_1090_RED.NOMAP.browse-Block-12.jpg,1.0
134.70440673828122,3376.868740346283,23.845261093229052,6.1180267333984375,72.148193359375,18.43386304378509,90.0,0.912542372881356,0.3045654296875,0.3248291015625,0,26,0,1,0,0.3227662676351028,318402.0,129633,409.8792989831202,ESP_015923_2640_RED.NOMAP.browse-Block-9.jpg,1.0
124.86456298828124,2686.8863809369504,676.7433887571096,14.161865234375,38.09519958496094,57.228614062070854,82.0,1980.0,0.2939453125,0.366943359375,14,71,0,6,24,0.6035102881637274,72873.0,101154,298.87763471063226,ESP_016397_2640_RED.NOMAP.browse-Block-11.jpg,1.0
110.1866455078125,3417.066115602851,1751.9140180945394,12.665390014648438,33.79437255859375,43.09459465742111,106.0,0.0018726591760299626,0.2127685546875,0.352294921875,61,96,7,46,116,0.6233847935994467,99005.0,116061,472.26670128293335,ESP_016397_2640_RED.NOMAP.browse-Block-13.jpg,1.0
151.6607666015625,2303.3045984357595,1400.0121802687647,11.160385131835938,31.03704833984375,43.998986572027206,65.0,5889.0,0.20550537109375,0.352783203125,36,82,0,3,57,0.6231158050836302,67925.0,99147,245.36079580336812,ESP_016397_2640_RED.NOMAP.browse-Block-14.jpg,1.0
121.6800537109375,3206.2250269502397,1403.6403424739838,20.34661865234375,103.43992614746094,43.21800535917282,98.0,1.089769165004275,0.2078857421875,0.34161376953125,43,92,0,10,100,0.6684228538976567,129440.0,142380,767.8018579045207,ESP_016397_2640_RED.NOMAP.browse-Block-15.jpg,1.0
140.66033935546878,2012.6996330879626,1797.120857890695,18.074447631835934,65.56541442871094,46.68715798854828,63.0,3492.0,0.23699951171875,0.3544921875,66,106,0,15,125,0.6640418273254424,118303.0,134274,672.0959076758622,ESP_016397_2640_RED.NOMAP.browse-Block-16.jpg,1.0
120.22430419921876,2047.606242801994,425.86575454473495,40.06492614746094,130.66624450683594,117.79164454340936,63.0,1902.0,0.35833740234375,0.3631591796875,6,47,0,3,2,0.6241237341188917,129607.0,137637,720.6035143369809,ESP_016541_2895_RED.NOMAP.browse-Block-11.jpg,1.0
122.75006103515624,1756.720550533384,210.47330485284328,15.433349609375,80.50267028808594,95.4864776134491,42.0,0.003189792663476874,0.34698486328125,0.3665771484375,3,19,0,3,0,0.4928118986241958,126335.0,136698,355.8728829640895,ESP_016541_2895_RED.NOMAP.browse-Block-12.jpg,1.0
161.0579833984375,2067.6242014020677,106.38652717694642,24.231185913085934,134.62120056152344,49.65473073720932,71.0,3096.0,0.3345947265625,0.35296630859375,5,37,0,4,3,0.5744557436774759,116152.0,102714,434.3130164062604,ESP_020138_2505_RED.NOMAP.browse-Block-1.jpg,1.0
113.2376708984375,2439.489655122161,108.12656300887464,17.436019897460938,484.1341400146485,80.87158316373825,71.0,0.4093569147957071,0.3258056640625,0.32745361328125,29,59,4,54,25,0.4655769609937481,104801.0,61620,61.81720679346472,ESP_020147_1265_RED.NOMAP.browse-Block-1.jpg,1.0
158.00909423828125,5620.648171689361,31.079214319586754,5.9245452880859375,101.72552490234376,20.206127613782886,149.0,1.2498321020819343,0.2442626953125,0.2943115234375,0,12,0,1,0,0.4213446037442076,246405.0,72777,316.72934682574123,ESP_026317_2635_RED.NOMAP.browse-Block-14.jpg,1.0
