MaxLapl,AvgMaxX,MaxVar,LaplVar,SurfNumKP,MaxY,RidgeAreaProp,ORBNumKP,HistMean,MinVar,C1AreaProp,AkazeNumKP,KazeNumKP,MaxAvgLapl,HistVar,Output,Filename
255.2836761474609,44643.0,3141.374252319336,613.4961132407187,103,32988,0.4220520094329235,127,172.46551513671875,107.8802932286635,0.353271484375,4,27,297.75707349181175,720.6052561067046,1,ESP_011314_1585_RED.NOMAP.browse-Block-7.jpg
299.94261169433594,595215.0,5497.009506225586,1075.1292342990635,69,55707,0.2388231726253734,27,114.7681884765625,89.10841520130634,0.21966552734375,6,65,601.4634734094142,9042.951878651977,1,ESP_011325_1845_RED.NOMAP.browse-Block-10.jpg
465.8740081787109,378452.0,5698.864608764648,989.958606481552,59,36999,0.28282278846291936,94,85.2291259765625,141.61144488118592,0.2047119140625,8,61,487.4129227101803,5737.952017888427,1,ESP_011325_1845_RED.NOMAP.browse-Block-12.jpg
374.87571716308594,411315.0,8084.393661499023,1190.971658911556,72,42144,0.2718316358678481,50,79.70672607421875,182.91468366701162,0.21783447265625,2,60,545.4498546123505,5033.211658861488,1,ESP_011325_1845_RED.NOMAP.browse-Block-14.jpg
109.92735290527344,498016.0,7019.0380859375,932.7566384635866,65,89109,0.28725895601160384,101,93.04278564453124,75.1904646838084,0.21826171875,5,44,553.3112655580044,6122.234436478466,1,ESP_011325_1845_RED.NOMAP.browse-Block-16.jpg
125.21868896484376,571167.0,5613.683822631836,1005.721835359931,72,78507,0.2510550106272978,16,108.512939453125,60.58437593467534,0.20965576171875,0,43,398.2787224650383,7823.71308940649,1,ESP_011325_1845_RED.NOMAP.browse-Block-18.jpg
312.8427734375,559275.0,4845.144470214844,1344.7505699247122,85,30963,0.3107757119571461,51,114.70269775390624,106.03319798968731,0.22900390625,3,68,582.1459287106992,8274.639455612749,1,ESP_011325_1845_RED.NOMAP.browse-Block-2.jpg
156.001708984375,514721.0,6118.415267944336,860.1230658143759,63,84126,0.32135004903755937,11,107.02349853515624,46.192474250681705,0.2193603515625,1,25,471.92827367782576,7471.038327213377,1,ESP_011325_1845_RED.NOMAP.browse-Block-4.jpg
147.36907958984375,498839.0,8106.62109375,1073.1236642561853,67,77922,0.2941082898308249,92,99.9249267578125,47.52779537532479,0.22052001953125,1,48,698.0328811109067,6738.996439203621,1,ESP_011325_1845_RED.NOMAP.browse-Block-6.jpg
328.23968505859375,510834.0,8710.128158569336,1339.585268482566,77,53211,0.3051315382415173,93,72.67303466796875,141.10382504668087,0.22186279296875,4,67,988.5699715316297,4325.049404706806,1,ESP_011325_1845_RED.NOMAP.browse-Block-8.jpg
114.1708984375,438865.0,2056.586898803711,258.6843951903284,63,35244,0.21218198514452166,15,94.1119384765625,53.83208193350583,0.2794189453125,1,24,63.5278040766716,1584.8861514180899,1,ESP_011326_1700_RED.NOMAP.browse-Block-1.jpg
314.841552734375,428377.0,3532.206771850586,533.3744002431631,72,39108,0.2252109714582855,52,96.4249267578125,79.08134646993129,0.27392578125,9,67,192.89370572566986,1856.9604284614325,1,ESP_011326_1700_RED.NOMAP.browse-Block-3.jpg
370.83984375,519152.0,3218.1185150146484,686.3296756148337,57,30891,0.2282879885505228,29,143.46575927734375,63.03874163143336,0.27130126953125,8,83,283.7726578116417,3395.4987055025995,1,ESP_011326_1700_RED.NOMAP.browse-Block-5.jpg
345.939208984375,537804.0,2509.5174407958984,378.34543051943183,56,27090,0.2056745651004304,32,113.36492919921876,47.431861317668044,0.2542724609375,6,58,204.92660316824922,2679.7295586131518,1,ESP_011326_1700_RED.NOMAP.browse-Block-7.jpg
177.51695251464844,396399.0,4400.771240234375,765.0047299526633,80,49518,0.4576815698661056,137,151.69329833984375,121.68544746469705,0.3221435546875,6,18,475.085724323988,2272.563221689313,1,ESP_011331_1560_RED.NOMAP.browse-Block-11.jpg
233.64447021484366,284576.0,2960.6083984375,566.835998352617,43,36885,0.41282898024016734,74,145.973388671875,119.90900753997265,0.33563232421875,3,16,385.51639145612717,1395.8562254309657,1,ESP_011331_1560_RED.NOMAP.browse-Block-9.jpg
280.5609741210937,436802.0,4361.495101928711,775.5839636586608,81,112878,0.5236309201109643,74,103.1456298828125,188.5564884226769,0.30438232421875,10,49,496.7607309520245,4156.4989335387945,1,ESP_011358_1255_RED.NOMAP.browse-Block-10.jpg
215.41204833984366,372701.0,4394.618103027344,1288.642838343978,94,70650,0.5123846091476141,98,94.96453857421876,148.24078063759953,0.312744140625,6,52,752.1728170812131,3144.9908689521253,1,ESP_011358_1255_RED.NOMAP.browse-Block-12.jpg
175.80950927734375,388001.0,2466.4134368896484,968.4333240054547,78,89226,0.5323604546341242,93,98.3719482421875,205.13648138195282,0.31109619140625,2,36,589.615145534277,2915.248861536384,1,ESP_011358_1255_RED.NOMAP.browse-Block-14.jpg
483.4307708740234,442673.0,5654.8427734375,1005.9924504756927,79,41808,0.4770835988661822,99,114.21044921875,107.52627045474944,0.31658935546875,4,48,663.1955091357231,4264.036643743515,1,ESP_011358_1255_RED.NOMAP.browse-Block-16.jpg
248.34544372558602,416207.0,2345.765625,1306.6213790737092,108,102588,0.6130382911831724,161,123.0205078125,231.69305644743145,0.34100341796875,20,81,813.7483560442924,2350.3491888046265,1,ESP_011358_1255_RED.NOMAP.browse-Block-2.jpg
247.87738037109366,428076.0,2261.5821380615234,1556.1003228090703,117,123696,0.5959084566901712,159,129.7462158203125,198.8376173106953,0.34539794921875,10,51,1029.769411444664,2310.1111306995153,1,ESP_011358_1255_RED.NOMAP.browse-Block-4.jpg
