Filename,HistMean,HistVar,LaplVar,MaxLapl,MaxVar,MaxAvgLapl,MinAvgLapl,IQR,Deviation,C1AreaProp,C2AreaProp,C3AreaProp,C4AreaProp,HistBin1,HistBin2,HistBin3,HistBin4,HistBin5,HistBin6,HistBin7,HistBin8,LaplHistBin1,LaplHistBin2,LaplHistBin3,LaplHistBin4,LaplHistBin5,LaplHistBin6,LaplHistBin7,LaplHistBin8,SiftNumKP,SurfNumKP,AkazeNumKP,BriskNumKP,KazeNumKP,ORBNumKP,RidgeAreaProp,MaxX,AvgMaxX,MaxY,MinVar,Output
featureless/ESP_011264_1090_RED.NOMAP.browse-Block-4.jpg,95.8409423828125,3587.8247983306646,148.44662642478943,15.63671875,50.882568359375,49.24106538295746,78.46157109737396,100.0,0.7377586368317574,0.2994384765625,0.00030517578125,0.13336181640625,0.36474609375,2397,4187,2448,2018,2123,1931,1087,193,8,193,2168,7267,5597,1072,76,3,0,0,0,0,0,0,0.5721943873985141,114237,110625.0,116922,632.0446906248108,1
featureless/ESP_011422_0930_RED.NOMAP.browse-Block-6.jpg,110.6397705078125,1704.5335647910833,2243.978759393096,9.453964233398438,18.10980224609375,40.489358603954315,42.106573551893234,60.0,0.31817551551326834,0.27752685546875,0.0,0.109130859375,0.3638916015625,229,1917,3916,5164,3070,1634,395,59,12,257,2208,5265,5848,2394,360,40,177,146,6,70,22,181,0.618284423678529,58635,58605.0,84729,184.9261066550389,1
featureless/ESP_011432_0925_RED.NOMAP.browse-Block-10.jpg,129.40570068359375,1055.4372746311128,1550.5919928401709,18.949447631835938,38.6318359375,47.669806241989136,62.831140607595444,48.0,2.0493920972644375,0.2548828125,0.0,0.10565185546875,0.35302734375,59,355,2161,5865,5254,2308,376,6,1,1,4,205,4042,9932,2122,77,27,89,0,26,7,94,0.6007351819206687,61014,59713.0,54258,164.2263558441773,1
featureless/ESP_011432_0925_RED.NOMAP.browse-Block-11.jpg,135.8994140625,1111.2169332504272,1029.8450937233865,24.823226928710938,102.5537109375,33.937911689281464,39.31657811999321,37.0,1.0,0.181884765625,0.0001220703125,0.03961181640625,0.3504638671875,283,579,1211,2959,8099,3228,21,4,1,0,3,8,531,15344,494,3,5,33,0,15,1,50,0.5522676318299536,52560,51854.0,53703,128.28642568551004,1
featureless/ESP_011432_0925_RED.NOMAP.browse-Block-6.jpg,103.96356201171875,1637.5591581128538,891.5563848018646,24.825668334960938,38.75096130371094,30.786766856908798,38.127295941114426,56.0,1.871345029239766,0.19244384765625,0.0,0.05377197265625,0.34259033203125,492,2151,4234,5229,2647,1363,265,3,1,5,11,294,11951,4098,23,1,4,72,0,12,0,27,0.4916844685872396,42738,40802.0,52803,74.71500752307475,1
featureless/ESP_011432_0925_RED.NOMAP.browse-Block-7.jpg,140.259033203125,1698.2800697684288,1155.771682202816,27.71380615234375,70.3271484375,47.28924295306206,56.481111854314804,43.0,384.0,0.255615234375,0.0,0.07501220703125,0.36273193359375,419,807,1205,2011,5257,6160,478,47,1,0,1,1,28,9666,6679,8,3,21,0,8,1,30,0.6014661564546473,61674,59880.0,59313,169.581312764436,1
featureless/ESP_011515_0980_RED.NOMAP.browse-Block-14.jpg,145.2344970703125,1518.8153724521399,527.9313235245645,13.662948608398438,23.140731811523438,24.345287203788757,28.467830270528793,58.0,3378.0,0.1839599609375,0.0,0.04388427734375,0.3397216796875,46,365,1238,3680,4535,4431,1915,174,34,2048,11612,2618,70,1,0,1,30,69,2,6,25,33,0.6255697138169233,67914,67552.0,87198,261.8067050036043,1
featureless/ESP_011515_0980_RED.NOMAP.browse-Block-16.jpg,117.54931640625,1098.6931245326996,707.5940364450216,17.290756225585938,23.92523193359375,42.34672352671623,44.906847566366196,40.0,1830.0,0.24652099609375,0.0,0.0770263671875,0.35491943359375,19,684,3078,7030,3834,1349,359,31,186,4667,10037,1457,33,3,0,1,29,95,0,5,21,28,0.6675728068632238,84747,83563.0,91893,383.08653255552053,1
featureless/ESP_011822_1275_RED.NOMAP.browse-Block-1.jpg,111.63494873046875,2869.6210710667074,410.5706974118948,19.857650756835938,92.0380859375,51.31624507904053,71.43727645277977,80.0,3909.0,0.3126220703125,0.00396728515625,0.216796875,0.3470458984375,97,2877,4966,3154,1742,1475,1669,404,6,63,754,6817,7648,1021,69,6,26,82,1,4,1,35,0.4705122255811504,72393,69749.0,66060,129.20055965799838,1
featureless/ESP_011843_0950_RED.NOMAP.browse-Block-1.jpg,136.4998779296875,1582.8198242038488,1260.0072934627533,19.832382202148438,54.320068359375,50.251260697841644,63.57058343291283,52.0,3480.0,0.3023681640625,0.0,0.19580078125,0.3453369140625,4,171,2165,5782,3824,2388,1745,305,38,1369,10092,4656,228,0,0,1,110,136,0,9,1,55,0.5618390401204427,108846,107962.0,60798,520.6950690643862,1
featureless/ESP_012533_0955_RED.NOMAP.browse-Block-32.jpg,146.78387451171875,2748.5649230740964,164.43129425868392,12.793930053710938,8.579833984375,3.724361389875412,4.342392385005951,52.0,4.003164556962025,0.02349853515625,0.0,0.00250244140625,0.1170654296875,537,1115,1179,1561,3686,6131,1419,756,1,0,0,0,6424,9946,12,1,2,8,0,2,13,1,0.34354441654710666,36816,32265.0,33141,22.575781540005973,1
