Filename,HistVar,HistSkew,LaplVar,C1Area,C2Area,C3Area,C4Area,HistEntropyVar,Symmetry,IQR,Output
C:/Users/mjmunje/COSMIC/primary_filter_dataset/dust/ESP_011492_1260_RED.NOMAP.browse-Block-3.jpg,380.2793451646891,-0.22984476062160855,41.21193992425354,0.211361014994233,0.011053440984236832,0.26768550557477894,0.32497116493656286,2.9734141969439246e-06,0.010507281527234428,25.0,1
C:/Users/mjmunje/COSMIC/primary_filter_dataset/dust/ESP_011492_1260_RED.NOMAP.browse-Block-5.jpg,261.7242193912642,0.12435588306953509,42.855825347983014,0.20098039215686275,0.0062475970780469054,0.26605151864667437,0.3230488273740869,3.076608053590651e-06,0.004899161263591568,21.0,1
C:/Users/mjmunje/COSMIC/primary_filter_dataset/dust/ESP_011980_2485_RED.NOMAP.browse-Block-1.jpg,123.50771628034407,-0.22256300540813223,26.101643201362382,0.020857362552864283,0.0038446751249519417,0.06997308727412534,0.21193771626297578,5.5832323021789096e-08,0.0034869942834091705,16.0,1
C:/Users/mjmunje/COSMIC/primary_filter_dataset/dust/ESP_011980_2485_RED.NOMAP.browse-Block-12.jpg,91.62467415047979,-0.025267499896567423,26.40489901926048,0.0033640907343329488,0.0,0.06276432141484045,0.23442906574394465,3.246308866903433e-06,0.00578466680789976,17.0,1
C:/Users/mjmunje/COSMIC/primary_filter_dataset/dust/ESP_011980_2485_RED.NOMAP.browse-Block-4.jpg,94.20892683011192,-0.2182811355165209,24.028173470012202,0.013648596693579393,0.0,0.05007689350249904,0.1959823144944252,1.0011074178024329e-07,0.033057340583292315,14.0,1
C:/Users/mjmunje/COSMIC/primary_filter_dataset/dust/ESP_012326_2125_RED.NOMAP.browse-Block-1.jpg,1058.506677286824,-0.5831051359256924,12.842384533364195,0.06007304882737409,0.0016339869281045752,0.14052287581699346,0.23885044213763937,5.73913595804261e-05,0.06935677026507468,50.0,1
C:/Users/mjmunje/COSMIC/primary_filter_dataset/dust/ESP_012326_2125_RED.NOMAP.browse-Block-2.jpg,1096.1248420409092,-0.8002995980241074,12.037532994215544,0.09294502114571318,0.0034602076124567475,0.1713763936947328,0.25336409073433297,0.00011208863317040299,0.02401668254684646,42.0,1
C:/Users/mjmunje/COSMIC/primary_filter_dataset/dust/ESP_012326_2125_RED.NOMAP.browse-Block-6.jpg,636.8208209464138,-0.4495005240384948,22.234677173671557,0.14350249903883122,0.01374471357170319,0.22174163783160322,0.29171472510572855,0.0007418673404385931,0.010372813341022713,26.0,1
C:/Users/mjmunje/COSMIC/primary_filter_dataset/dust/ESP_012465_1560_RED.NOMAP.browse-Block-8.jpg,702.0410051748647,0.15841826314519392,29.083002264086463,0.10563244905805459,0.004036908881199538,0.18896578239138792,0.29325259515570934,5.783172512289486e-05,0.02432915872509491,33.25,1
C:/Users/mjmunje/COSMIC/primary_filter_dataset/dust/ESP_012466_1670_RED.NOMAP.browse-Block-2.jpg,174.71581162185723,0.26908874345574213,5.123750646876569,0.0,0.0,0.005959246443675509,0.09400230680507497,4.994096215463595e-07,0.010778821332454669,22.0,1
C:/Users/mjmunje/COSMIC/primary_filter_dataset/dust/ESP_012466_1670_RED.NOMAP.browse-Block-3.jpg,170.90833231525568,0.3171097520329456,10.932443572260457,0.0031718569780853517,0.0,0.04123414071510957,0.1580161476355248,3.1211759406655506e-07,0.08590646225810576,26.0,1
C:/Users/mjmunje/COSMIC/primary_filter_dataset/dust/ESP_012466_1670_RED.NOMAP.browse-Block-4.jpg,330.46241156582045,-0.13440211310677594,5.327893167919179,0.0,0.0,0.010284505959246444,0.11908881199538639,1.198683224170119e-06,0.025078605172931496,31.0,1
C:/Users/mjmunje/COSMIC/primary_filter_dataset/dust/ESP_012466_1670_RED.NOMAP.browse-Block-5.jpg,602.3462557505683,-0.30801780825937786,16.947832398106133,0.03316032295271049,0.0,0.11534025374855825,0.24586697424067666,1.363031158927609e-05,0.03507304882737401,39.0,1
C:/Users/mjmunje/COSMIC/primary_filter_dataset/dust/ESP_012466_1670_RED.NOMAP.browse-Block-6.jpg,164.99851434569348,-0.013838800396950663,7.316527365557949,0.0,0.0,0.03239138792772011,0.16214917339484813,4.159538348098246e-06,0.0019421263315012659,18.0,1
C:/Users/mjmunje/COSMIC/primary_filter_dataset/dust/ESP_012466_1670_RED.NOMAP.browse-Block-8.jpg,375.27700776185367,-0.2984486621797157,13.710181661638728,0.01057285659361784,0.0,0.09544405997693195,0.2421184159938485,0.0005975596924891417,0.01779178866116587,23.0,1
C:/Users/mjmunje/COSMIC/primary_filter_dataset/dust/ESP_012552_1220_RED.NOMAP.browse-Block-1.jpg,381.23779606659133,-0.29986872631651856,15.268033305662316,0.05161476355247981,0.0,0.15494040753556323,0.28575547866205303,2.3942924672142527e-06,0.009931775151792225,21.0,1
C:/Users/mjmunje/COSMIC/primary_filter_dataset/dust/ESP_012552_1220_RED.NOMAP.browse-Block-2.jpg,262.7312718055236,-0.5520950535153367,16.7789024302456,0.05123029603998462,0.0,0.1708958093041138,0.28988850442137637,5.477655533527989e-07,0.036377835447904516,23.0,1
C:/Users/mjmunje/COSMIC/primary_filter_dataset/dust/ESP_012552_1220_RED.NOMAP.browse-Block-3.jpg,400.3147354657312,0.35074077978029117,18.859772865580787,0.09842368319876971,0.0015378700499807767,0.19050365244136871,0.29392541330257593,1.751364748009941e-05,0.040243318854450344,32.0,1
